Name,abl1,akt1,akt2,braf,cdk2,csf1r,dyr,egfr,fak1,fgfr1,igf1r,jak2,kif11,kit,kith,kpcb,lck,mapk2,met,mk01,mk10,mk14,mp2k1,plk1,rock1,src,tgfr1,vgfr2,wee1
abl1,100.0,20.424403183023873,20.866489832007073,23.0565371024735,17.168141592920357,19.152691968225948,12.47787610619469,18.93877551020408,20.121951219512198,23.368606701940035,20.64186725018235,15.12532411408816,18.65148861646235,19.152691968225948,18.672566371681416,21.750663129973475,21.061946902654867,18.672566371681416,20.588235294117645,17.61061946902655,20.884955752212388,18.230088495575224,20.159151193633953,22.654867256637168,19.70479704797048,21.68141592920354,20.79646017699115,20.79353416605437,21.858407079646017
akt1,20.424403183023873,100.0,81.12033195020747,23.10704960835509,25.571725571725572,21.91358024691358,20.833333333333336,20.66115702479339,21.19771863117871,22.74939172749392,19.092904169714703,21.73144876325088,21.685606060606062,22.64344262295082,20.416666666666668,32.93768545994065,15.953307392996107,25.963488843813387,19.266714593817397,22.291666666666668,15.132924335378323,22.245322245322246,22.88659793814433,21.15702479338843,19.35007385524372,18.51851851851852,15.324165029469548,19.469026548672566,21.450617283950617
akt2,20.866489832007073,81.12033195020747,100.0,23.237597911227155,25.051759834368532,21.810699588477366,19.95841995841996,20.743801652892564,21.38783269961977,21.776155717761558,19.01975128017557,21.113074204946997,21.59090909090909,21.721311475409834,20.95435684647303,33.72781065088758,17.91907514450867,27.070707070707073,18.69158878504673,24.380165289256198,17.44421906693712,23.140495867768596,22.587268993839835,21.22719734660033,19.12850812407681,19.408502772643253,15.157480314960631,19.542772861356934,21.483771251931994
braf,23.0565371024735,23.10704960835509,23.237597911227155,100.0,20.365535248041773,23.15573770491803,15.796344647519584,23.476112026359143,22.485768500948765,23.021582733812952,22.830051057622175,21.908127208480565,22.264150943396228,22.290388548057262,21.409921671018274,19.896640826873384,26.623376623376622,22.845953002610965,22.66187050359712,21.279373368146214,22.685788787483702,20.757180156657963,22.97650130548303,22.395833333333336,22.287822878228784,26.36363636363636,24.348958333333336,23.451327433628318,20.208604954367665
cdk2,17.168141592920357,25.571725571725572,25.051759834368532,20.365535248041773,100.0,18.72427983539095,23.411371237458194,16.115702479338843,17.490494296577946,19.34306569343066,14.996342355523042,16.431095406360424,17.424242424242426,18.545081967213115,21.808510638297875,21.460506706408346,21.807465618860512,24.129353233830848,14.820143884892087,33.795013850415515,28.96995708154507,33.791208791208796,27.455919395465994,23.0514096185738,14.623338257016247,22.94776119402985,21.47117296222664,15.339233038348082,20.588235294117645
csf1r,19.152691968225948,21.91358024691358,21.810699588477366,23.15573770491803,18.72427983539095,100.0,13.991769547325102,22.15815485996705,16.777251184834125,30.111902339776197,24.89051094890511,20.14072119613017,18.820224719101123,41.41012909632572,20.37037037037037,22.016460905349795,25.925925925925924,19.753086419753085,25.606276747503564,19.54732510288066,21.39917695473251,19.958847736625515,20.473251028806587,23.14814814814815,21.418020679468242,25.617283950617285,22.22222222222222,30.425219941348974,22.22222222222222
dyr,12.47787610619469,20.833333333333336,19.95841995841996,15.796344647519584,23.411371237458194,13.991769547325102,100.0,12.314049586776859,13.212927756653992,15.693430656934307,11.485003657644477,12.897526501766784,13.636363636363635,13.62704918032787,22.22222222222222,17.2876304023845,19.646365422396855,21.0,10.93525179856115,21.38888888888889,19.612068965517242,22.5,20.865139949109416,18.24212271973466,10.782865583456426,19.402985074626866,18.886679920477135,11.35693215339233,16.718266253869967
egfr,18.93877551020408,20.66115702479339,20.743801652892564,23.476112026359143,16.115702479338843,22.15815485996705,12.314049586776859,100.0,18.996710526315788,25.103220478943022,21.77361211247296,18.174409127954362,19.325657894736842,22.01154163231657,18.429752066115704,23.305785123966942,21.80016515276631,17.93388429752066,20.544022906227628,18.09917355371901,20.24793388429752,18.09917355371901,18.760330578512395,21.487603305785125,19.750367107195302,22.213047068538398,20.99173553719008,20.396184886280263,21.90082644628099
fak1,20.121951219512198,21.19771863117871,21.38783269961977,22.485768500948765,17.490494296577946,16.777251184834125,13.212927756653992,18.996710526315788,100.0,21.27255460588794,21.824817518248175,19.544259421560035,17.598533455545372,17.96801505174036,19.676806083650188,22.24334600760456,22.2011385199241,20.322886989553655,22.453371592539455,19.011406844106464,21.367521367521366,18.8212927756654,21.082621082621085,22.338403041825096,21.976401179941004,21.292775665399237,21.38783269961977,21.575846833578794,22.433460076045627
fgfr1,23.368606701940035,22.74939172749392,21.776155717761558,23.021582733812952,19.34306569343066,30.111902339776197,15.693430656934307,25.103220478943022,21.27255460588794,100.0,25.237746891002192,22.62323943661972,22.138126773888363,29.71887550200803,22.26277372262774,23.832335329341316,27.73722627737226,21.532846715328464,23.741007194244602,21.41119221411192,22.871046228710462,21.289537712895378,22.019464720194648,22.114216281895505,22.895125553914326,28.484848484848484,22.62773722627737,30.808823529411768,21.21212121212121
igf1r,20.64186725018235,19.092904169714703,19.01975128017557,22.830051057622175,14.996342355523042,24.89051094890511,11.485003657644477,21.77361211247296,21.824817518248175,25.237746891002192,100.0,22.836363636363636,22.132943754565375,24.525547445255473,16.67885881492319,20.99487929773226,20.54093567251462,17.62984637893197,23.208191126279864,16.605705925384054,18.2882223847842,16.605705925384054,17.117776152158008,20.760233918128655,16.452074391988557,20.906432748538013,19.092904169714703,18.785310734463277,20.848573518653986
jak2,15.12532411408816,21.73144876325088,21.113074204946997,21.908127208480565,16.431095406360424,20.14072119613017,12.897526501766784,18.174409127954362,19.544259421560035,22.62323943661972,22.836363636363636,100.0,19.669277632724107,20.43859649122807,18.374558303886925,22.614840989399294,21.977052074139454,18.81625441696113,24.103299856527975,18.992932862190813,20.848056537102476,18.462897526501767,19.081272084805654,22.771403353927624,21.18081180811808,21.71226831421006,20.58303886925795,20.66176470588235,21.73144876325088
kif11,18.65148861646235,21.685606060606062,21.59090909090909,22.264150943396228,17.424242424242426,18.820224719101123,13.636363636363635,19.325657894736842,17.598533455545372,22.138126773888363,22.132943754565375,19.669277632724107,100.0,17.796610169491526,18.65530303030303,23.273415326395458,22.632575757575758,19.41287878787879,22.15827338129496,19.318181818181817,21.28666035950804,19.12878787878788,19.886363636363637,22.705771050141912,23.303834808259587,23.15689981096408,20.549242424242426,22.459499263622977,23.295454545454543
kit,19.152691968225948,22.64344262295082,21.721311475409834,22.290388548057262,18.545081967213115,41.41012909632572,13.62704918032787,22.01154163231657,17.96801505174036,29.71887550200803,24.525547445255473,20.43859649122807,17.796610169491526,100.0,19.979508196721312,21.618852459016395,25.204918032786882,20.470829068577277,25.125268432355046,19.672131147540984,21.618852459016395,19.364754098360656,20.69672131147541,22.92732855680655,22.156573116691288,24.692622950819672,21.721311475409834,29.385964912280706,21.903787103377688
kith,18.672566371681416,20.416666666666668,20.95435684647303,21.409921671018274,21.808510638297875,20.37037037037037,22.22222222222222,18.429752066115704,19.676806083650188,22.26277372262774,16.67885881492319,18.374558303886925,18.65530303030303,19.979508196721312,100.0,21.311475409836063,21.414538310412574,16.831683168316832,16.762589928057555,16.315789473684212,20.04310344827586,18.5378590078329,20.98765432098765,23.217247097844112,16.02658788774003,23.83612662942272,21.584158415841586,17.25663716814159,21.36222910216718
kpcb,21.750663129973475,32.93768545994065,33.72781065088758,19.896640826873384,21.460506706408346,22.016460905349795,17.2876304023845,23.305785123966942,22.24334600760456,23.832335329341316,20.99487929773226,22.614840989399294,23.273415326395458,21.618852459016395,21.311475409836063,100.0,24.48377581120944,21.758569299552907,21.294964028776977,22.801788375558868,22.88261515601783,21.609538002980628,22.503725782414307,19.174041297935105,22.156573116691288,24.30044182621502,23.922734026745914,22.549742078113486,16.593245227606463
lck,21.061946902654867,15.953307392996107,17.91907514450867,26.623376623376622,21.807465618860512,25.925925925925924,19.646365422396855,21.80016515276631,22.2011385199241,27.73722627737226,20.54093567251462,21.977052074139454,22.632575757575758,25.204918032786882,21.414538310412574,24.48377581120944,100.0,19.960861056751465,20.48885693745507,21.611001964636543,17.7734375,22.309197651663403,22.113502935420744,18.90547263681592,19.86706056129985,53.90334572490706,23.161764705882355,21.518054532056006,22.720247295208658
mapk2,18.672566371681416,25.963488843813387,27.070707070707073,22.845953002610965,24.129353233830848,19.753086419753085,21.0,17.93388429752066,20.322886989553655,21.532846715328464,17.62984637893197,18.81625441696113,19.41287878787879,20.470829068577277,16.831683168316832,21.758569299552907,19.960861056751465,100.0,16.906474820143885,22.604422604422606,24.364406779661017,21.48148148148148,23.058252427184467,23.67549668874172,16.838995568685377,22.388059701492537,20.792079207920793,17.10914454277286,22.56568778979907
met,20.588235294117645,19.266714593817397,18.69158878504673,22.66187050359712,14.820143884892087,25.606276747503564,10.93525179856115,20.544022906227628,22.453371592539455,23.741007194244602,23.208191126279864,24.103299856527975,22.15827338129496,25.125268432355046,16.762589928057555,21.294964028776977,20.48885693745507,16.906474820143885,100.0,16.834532374100718,18.56115107913669,16.762589928057555,17.553956834532375,21.654676258992804,16.725476358503883,21.279654924514738,20.0,17.372881355932204,20.79136690647482
mk01,17.61061946902655,22.291666666666668,24.380165289256198,21.279373368146214,33.795013850415515,19.54732510288066,21.38888888888889,18.09917355371901,19.011406844106464,21.41119221411192,16.605705925384054,18.992932862190813,19.318181818181817,19.672131147540984,16.315789473684212,22.801788375558868,21.611001964636543,22.604422604422606,16.834532374100718,100.0,34.81953290870488,47.696476964769644,23.39901477832512,23.88059701492537,16.838995568685377,22.574626865671643,23.41269841269841,16.666666666666664,21.36222910216718
mk10,20.884955752212388,15.132924335378323,17.44421906693712,22.685788787483702,28.96995708154507,21.39917695473251,19.612068965517242,20.24793388429752,21.367521367521366,22.871046228710462,18.2882223847842,20.848056537102476,21.28666035950804,21.618852459016395,20.04310344827586,22.88261515601783,17.7734375,24.364406779661017,18.56115107913669,34.81953290870488,100.0,41.57782515991471,24.364406779661017,21.818181818181817,18.9807976366322,20.222634508348794,21.08317214700193,19.542772861356934,21.53846153846154
mk14,18.230088495575224,22.245322245322246,23.140495867768596,20.757180156657963,33.791208791208796,19.958847736625515,22.5,18.09917355371901,18.8212927756654,21.289537712895378,16.605705925384054,18.462897526501767,19.12878787878788,19.364754098360656,18.5378590078329,21.609538002980628,22.309197651663403,21.48148148148148,16.762589928057555,47.696476964769644,41.57782515991471,100.0,24.00990099009901,24.17218543046358,16.395864106351553,22.574626865671643,22.023809523809522,17.330383480825958,22.291021671826623
mp2k1,20.159151193633953,22.88659793814433,22.587268993839835,22.97650130548303,27.455919395465994,20.473251028806587,20.865139949109416,18.760330578512395,21.082621082621085,22.019464720194648,17.117776152158008,19.081272084805654,19.886363636363637,20.69672131147541,20.98765432098765,22.503725782414307,22.113502935420744,23.058252427184467,17.553956834532375,23.39901477832512,24.364406779661017,24.00990099009901,100.0,24.297520661157023,17.2821270310192,21.828358208955223,22.574257425742577,17.846607669616517,22.445820433436534
plk1,22.654867256637168,21.15702479338843,21.22719734660033,22.395833333333336,23.0514096185738,23.14814814814815,18.24212271973466,21.487603305785125,22.338403041825096,22.114216281895505,20.760233918128655,22.771403353927624,22.705771050141912,22.92732855680655,23.217247097844112,19.174041297935105,18.90547263681592,23.67549668874172,21.654676258992804,23.88059701492537,21.818181818181817,24.17218543046358,24.297520661157023,100.0,21.771217712177123,20.880913539967374,21.746293245469523,21.460176991150444,17.33128834355828
rock1,19.70479704797048,19.35007385524372,19.12850812407681,22.287822878228784,14.623338257016247,21.418020679468242,10.782865583456426,19.750367107195302,21.976401179941004,22.895125553914326,16.452074391988557,21.18081180811808,23.303834808259587,22.156573116691288,16.02658788774003,22.156573116691288,19.86706056129985,16.838995568685377,16.725476358503883,16.838995568685377,18.9807976366322,16.395864106351553,17.2821270310192,21.771217712177123,100.0,20.457902511078284,19.423929098966028,17.167381974248926,21.86115214180207
src,21.68141592920354,18.51851851851852,19.408502772643253,26.36363636363636,22.94776119402985,25.617283950617285,19.402985074626866,22.213047068538398,21.292775665399237,28.484848484848484,20.906432748538013,21.71226831421006,23.15689981096408,24.692622950819672,23.83612662942272,24.30044182621502,53.90334572490706,22.388059701492537,21.279654924514738,22.574626865671643,20.222634508348794,22.574626865671643,21.828358208955223,20.880913539967374,20.457902511078284,100.0,19.561243144424132,22.181282240235813,23.006134969325153
tgfr1,20.79646017699115,15.324165029469548,15.157480314960631,24.348958333333336,21.47117296222664,22.22222222222222,18.886679920477135,20.99173553719008,21.38783269961977,22.62773722627737,19.092904169714703,20.58303886925795,20.549242424242426,21.721311475409834,21.584158415841586,23.922734026745914,23.161764705882355,20.792079207920793,20.0,23.41269841269841,21.08317214700193,22.023809523809522,22.574257425742577,21.746293245469523,19.423929098966028,19.561243144424132,100.0,20.206489675516224,21.91358024691358
vgfr2,20.79353416605437,19.469026548672566,19.542772861356934,23.451327433628318,15.339233038348082,30.425219941348974,11.35693215339233,20.396184886280263,21.575846833578794,30.808823529411768,18.785310734463277,20.66176470588235,22.459499263622977,29.385964912280706,17.25663716814159,22.549742078113486,21.518054532056006,17.10914454277286,17.372881355932204,16.666666666666664,19.542772861356934,17.330383480825958,17.846607669616517,21.460176991150444,17.167381974248926,22.181282240235813,20.206489675516224,100.0,21.68141592920354
wee1,21.858407079646017,21.450617283950617,21.483771251931994,20.208604954367665,20.588235294117645,22.22222222222222,16.718266253869967,21.90082644628099,22.433460076045627,21.21212121212121,20.848573518653986,21.73144876325088,23.295454545454543,21.903787103377688,21.36222910216718,16.593245227606463,22.720247295208658,22.56568778979907,20.79136690647482,21.36222910216718,21.53846153846154,22.291021671826623,22.445820433436534,17.33128834355828,21.86115214180207,23.006134969325153,21.91358024691358,21.68141592920354,100.0
